model,demand,epq,total_cycle,production_cycle,depletion_cycle,runs,setup,holding,total
Stacer 379 Seasprite Dinghy (2) L/S,21,25,435,9,425,1,5000,8321.5,13322
Stacer 389 Territory Striker (2) L/S,63,44,255,16,239,1,5000,14017.52,19018
Stacer 399 Bolt L/S,37,34,335,12,323,1,5000,11132.279999999999,16132
Stacer 399 Seasprite Dinghy (2) L/S,7,14,730,5,725,0,0,4726.679999999999,4727
Stacer 399S Proline (2) L/S,105,59,205,22,184,2,10000,17953.7,27954
Stacer 409 Assault Pro,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 409S Proline Angler L/S,25,27,394,10,384,1,5000,8950.5,13950
Stacer 429 Assault Pro,7,14,730,5,725,0,0,4726.679999999999,4727
Stacer 429 Outlaw SC,112,61,199,22,177,2,10000,18417.12,28417
Stacer 429 Outlaw TS,85,52,223,19,204,2,10000,16177.199999999999,26177
Stacer 429 Rampage TS L/S,147,71,176,26,150,2,10000,20591.42,30591
Stacer 429 SeaMaster,37,34,335,12,323,1,5000,11132.279999999999,16132
Stacer 429 SeaMaster (2022),118,63,195,23,172,2,10000,18892.440000000002,28892
Stacer 429 SeaMaster SE (2022),36,33,335,12,323,1,5000,10816.08,15816
Stacer 429S Proline (2) L/S,14,20,521,7,514,1,5000,6704.799999999999,11705
Stacer 429S Proline Angler L/S,46,38,302,14,288,1,5000,12325.679999999998,17326
Stacer 449 Assault Pro,17,23,494,8,485,1,5000,7687.0599999999995,12687
Stacer 449 CrossFire SC,22,26,431,9,422,1,5000,8645.52,13646
Stacer 449 CrossFire SE Side Console (2022),30,30,365,11,354,1,5000,9894.0,14894
Stacer 449 CrossFire Side Console (2022),67,46,251,17,234,1,5000,14592.119999999999,19592
Stacer 449 Outlaw CC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 449 Outlaw SC,17,23,494,8,485,1,5000,7687.0599999999995,12687
Stacer 449 Outlaw TS,13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 449 Rampage TS L/S,56,42,274,15,258,1,5000,13480.319999999998,18480
Stacer 449 SeaMaster,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 449 SeaMaster (2022),9,16,649,6,643,1,5000,5391.04,10391
Stacer 449 SeaMaster SE (2022),6,13,791,5,786,0,0,4393.4800000000005,4393
Stacer 449S Proline Angler L/S,37,34,335,12,323,1,5000,11132.279999999999,16132
Stacer 459 Assault Pro,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 469 Assault Pro Tournament,2,8,1460,3,1457,0,0,2714.56,2715
Stacer 469 Outlaw CC,2,8,1460,3,1457,0,0,2714.56,2715
Stacer 469 Outlaw SC,53,41,282,15,267,1,5000,13201.18,18201
Stacer 469 Outlaw TS,5,12,876,4,872,0,0,4059.6,4060
Stacer 481 CrossFire SC,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 481 CrossFire SE Side Console (2022),15,21,511,8,503,1,5000,7032.9,12033
Stacer 481 CrossFire Side Console (2022),10,17,620,6,614,1,5000,5722.2,10722
Stacer 481 SeaMaster,9,16,649,6,643,1,5000,5391.04,10391
Stacer 481 SeaMaster (2022),27,29,392,11,381,1,5000,9593.779999999999,14594
Stacer 481 SeaMaster SE (2022),10,17,620,6,614,1,5000,5722.2,10722
Stacer 489 Assault Pro,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 489 Outlaw CC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 489 Outlaw SC,11,18,597,7,591,1,5000,6052.68,11053
Stacer 489 SF Barra - SES,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 499 CrossFire SC,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 499 CrossFire SE Side Console (2022),28,29,378,11,367,1,5000,9583.92,14584
Stacer 499 CrossFire Side Console (2022),18,23,466,8,458,1,5000,7679.24,12679
Stacer 499 SeaMaster,3,9,1095,3,1092,0,0,3050.82,3051
